RiskYear,NumberOfPersons,ActivityCode,TravellingArea,DangerousAreas,CompanyAge,FinancialRating,Duration,ClaimCost,NumberOfClaims
2018,58.00,L,Whole world,Excluded,70.075294,AA,0.9994,0E-8,0
2018,30.00,G,Whole world,Excluded,66.84189,AAA,0.2519,0E-8,0
2018,150.00,C,Whole world,Excluded,60.876114,AA,0.3340,0E-8,0
2021,54.00,Q,Whole world,Excluded,63.608486,AAA,0.4956,0E-8,0
2019,19.00,R,Whole world,Excluded,31.09651,A,0.8625,0E-8,0
2022,4.00,F,Whole world,Excluded,33.683777,AAA,0.7775,0E-8,0
2021,5.00,X,Nordic countries,Excluded,31.937029,AAA,0.9994,0E-8,0
2022,2.00,C,Whole world,Excluded,32.78029,AA,0.6243,0E-8,0
2018,14.00,G,Whole world,Excluded,25.943874,C,0.9501,0E-8,0
2019,70.00,F,Whole world,Excluded,25.790554,AA,0.6708,0E-8,0
2020,28.00,C,Whole world,Excluded,25.598906,A,0.6708,0E-8,0
2020,5.00,J,Whole world,Excluded,25.54141,AA,0.1643,0E-8,0
2020,6.00,G,Whole world,Excluded,22.097193,AA,0.2546,0E-8,0
2018,6.00,C,Whole world,Excluded,18.028748,AAA,0.2629,0E-8,0
2021,4.00,J,Whole world,Excluded,20.57221,AAA,0.3340,0E-8,0
2021,2.00,J,Whole world,Excluded,15.074607,A,0.3396,0E-8,0
2020,50.00,F,Whole world,Excluded,13.626284,AA,0.3313,0E-8,0
2022,16.00,G,Whole world,Excluded,15.378508,AAA,0.1670,0E-8,0
2022,12.00,F,Sweden,Excluded,14.937714,AAA,0.5175,0E-8,0
2021,2.00,G,Whole world,Excluded,13.886379,B,0.1835,0E-8,0
2021,40.00,F,Whole world,Excluded,12.136892,A,0.2519,0E-8,0
2021,44.00,M,Whole world,Excluded,9.793292,AAA,0.5531,0E-8,0
2022,1.00,M,Whole world,Excluded,10.505134,A,0.0137,0E-8,0
2018,2.00,M,Sweden,Excluded,5.360712,AA,0.9720,0E-8,0
2022,2.00,L,Europe,Excluded,9.267625,A,0.9994,0E-8,0
2020,1.00,J,Whole world,Excluded,6.877481,A,0.0575,0E-8,0
2021,18.00,F,Europe,Excluded,7.3127995,B,0.9994,0E-8,0
2020,2.00,M,Whole world,Excluded,6.036961,AA,0.0657,0E-8,0
2022,7.00,G,Whole world,Excluded,6.8720055,AAA,0.0411,0E-8,0
2022,4.00,M,Whole world,Excluded,6.677618,AA,0.6407,0E-8,0
2022,70.00,M,Whole world,Excluded,6.4312115,AAA,0.2300,0E-8,0
2022,2.00,J,Whole world,Excluded,5.54141,C,0.6434,0E-8,0
2021,3.00,M,Whole world,Excluded,4.0930867,AA,0.9994,0E-8,0
2022,1.00,J,Nordic countries,Excluded,4.2847366,B,0.1753,0E-8,0
2021,2.00,M,Whole world,Excluded,3.266256,B,0.7557,0E-8,0
2022,80.00,J,Whole world,Excluded,3.9425051,A,0.6078,0E-8,0
2022,1.00,M,Whole world,Excluded,1.8316221,A,0.3340,0E-8,0
2021,1.00,F,Whole world,Excluded,3.874059,missing,0.1095,0E-8,0
2018,1.00,M,Nordic countries,Excluded,2.3874059,missing,0.8406,0E-8,0
2020,2.00,M,Whole world,Excluded,6.67488,missing,0.1780,0E-8,0
2022,1.00,M,Whole world,Excluded,4.2984257,missing,0.1999,0E-8,0
2020,1.00,S,Sweden,Excluded,4.6543465,missing,0.9090,0E-8,0
2018,4.00,M,Europe,Excluded,47.348392,AAA,0.6708,0E-8,0
2019,2.00,G,Sweden,Excluded,46.784393,A,0.1780,0E-8,0
2019,4.00,M,Whole world,Excluded,46.283367,AAA,0.3586,0E-8,0
2020,5.00,F,Whole world,Excluded,40.032856,AA,0.4983,0E-8,0
2020,3.00,M,Whole world,Excluded,35.06639,A,0.1725,0E-8,0
2019,11.00,G,Whole world,Excluded,31.433266,AAA,0.9994,0E-8,0
2018,10.00,M,Whole world,Excluded,30.184805,AAA,0.9145,0E-8,0
2022,1.00,M,Whole world,Excluded,33.89733,AA,0.9172,0E-8,0
2021,115.00,H,Whole world,Excluded,31.898699,AAA,0.5038,0E-8,0
2018,1.00,F,Whole world,Excluded,28.553045,A,0.5038,0E-8,0
2019,5.00,S,Whole world,Excluded,29.582478,AA,0.5065,0E-8,0
2021,2.00,G,Nordic countries,Excluded,30.28063,AA,0.2465,0E-8,0
2019,3.00,G,Whole world,Excluded,26.19028,AA,0.8104,0E-8,0
2020,10.00,J,Whole world,Excluded,25.716633,AAA,0.3450,0E-8,0
2020,42.00,J,Whole world,Excluded,25.295004,AAA,0.0849,0E-8,0
2022,155.00,K,Whole world,Excluded,26.910336,AA,0.1232,0E-8,0
2022,2.00,G,Whole world,Excluded,23.408625,AA,0.2629,0E-8,0
2018,2.00,X,Whole world,Excluded,19.047228,AAA,0.8379,0E-8,0
2019,8.00,C,Whole world,Excluded,19.60575,IR,0.3423,0E-8,0
2018,3.00,J,Whole world,Excluded,18.067078,IR,0.2902,0E-8,0
2019,1.00,N,Whole world,Excluded,18.855577,A,0.0684,0E-8,0
2021,1.00,C,Whole world,Excluded,20.049282,AA,0.8324,0E-8,0
2022,6.00,C,Whole world,Excluded,20.837782,A,0.6708,0E-8,0
2021,12.00,M,Whole world,Excluded,19.518139,B,0.9693,0E-8,0
2020,2.00,R,Whole world,Excluded,18.097193,AAA,0.6982,0E-8,0
2018,115.00,N,Whole world,Excluded,15.676933,AAA,0.2327,0E-8,0
2022,12.00,C,Whole world,Excluded,18.198494,AAA,0.0876,0E-8,0
2021,13.00,M,Whole world,Excluded,16.008213,AA,0.7475,0E-8,0
2020,3.00,C,Whole world,Excluded,13.752225,A,0.5832,0E-8,0
2020,2.00,F,Sweden,Excluded,12.049281,AAA,0.8378,0E-8,0
2019,3.00,I,Whole world,Excluded,10.907598,AA,0.1616,0E-8,0
2021,7.00,C,Whole world,Excluded,10.310746,A,0.4846,0E-8,0
2022,50.00,L,Whole world,Excluded,11.091034,A,0.3340,0E-8,0
2019,3.00,M,Whole world,Excluded,7.726215,AA,0.0767,0E-8,0
2019,1.00,M,Whole world,Excluded,6.609172,A,0.6133,0E-8,0
2019,3.00,Q,Whole world,Excluded,6.1930184,C,0.8159,0E-8,0
2022,1.00,I,Whole world,Excluded,9.166325,B,0.2136,0E-8,0
2018,1.00,G,Europe,Excluded,4.695414,A,0.0110,0E-8,0
2018,13.00,M,Whole world,Excluded,4.421629,AA,0.1834,0E-8,0
2019,2.00,R,Whole world,Excluded,4.238193,A,0.0438,0E-8,0
2019,6.00,M,Whole world,Excluded,3.9123888,AA,0.2711,0E-8,0
2022,10.00,F,Whole world,Excluded,6.1546884,A,0.2464,0E-8,0
2019,5.00,C,Whole world,Excluded,2.4722793,C,0.8049,0E-8,0
2020,2.00,M,Whole world,Excluded,3.3894594,AA,0.3340,0E-8,0
2022,17.00,Q,Sweden,Excluded,5.026694,AA,0.7529,0E-8,0
2022,7.00,K,Whole world,Excluded,4.747433,A,0.4409,0E-8,0
2020,1.00,F,Sweden,Excluded,2.587269,A,0.3532,0E-8,0
